iter	MultiClass
0	2.451018491
1	2.065338533
2	1.822099901
3	1.632760487
4	1.480055967
5	1.357704229
6	1.269138237
7	1.175096064
8	1.097233781
9	1.028307243
10	0.963350777
11	0.9044351329
12	0.8548806895
13	0.8077302352
14	0.7682417496
15	0.7319812277
16	0.6973887568
17	0.6641441014
18	0.6341114873
19	0.6064082934
20	0.5825828884
21	0.5575638481
22	0.5368046968
23	0.5190379267
24	0.5008718408
25	0.4827993642
26	0.4663421631
27	0.4506007982
28	0.4356946862
29	0.4216154016
30	0.4090282274
31	0.3971069004
32	0.3847010737
33	0.3731110283
34	0.3629940199
35	0.3536717622
36	0.3442387456
37	0.3354551564
38	0.3277697356
39	0.3209311444
40	0.3142168128
41	0.3083456288
42	0.3015387494
43	0.295170925
44	0.2903906781
45	0.2847904039
46	0.2805563554
47	0.2757056195
48	0.271249655
49	0.2667228533
50	0.2632558906
51	0.2589421645
52	0.2552219888
53	0.2513822141
54	0.2479963054
55	0.2453026315
56	0.2425610418
57	0.2396684564
58	0.2371735448
59	0.2353772371
60	0.2333343174
61	0.2309340933
62	0.2293250872
63	0.2276917499
64	0.2260974884
65	0.2246258943
66	0.2233898826
67	0.221685393
68	0.2204995529
69	0.2192603236
70	0.218228846
71	0.217063174
72	0.2159484532
73	0.2149773639
74	0.2138392905
75	0.212694251
76	0.2116124692
77	0.2099438709
78	0.2092548205
79	0.2086207514
80	0.2077054894
81	0.2068191528
82	0.2062114881
83	0.2055183245
84	0.2048180124
85	0.2037987419
86	0.2031560151
87	0.2022841412
88	0.2010640683
89	0.2002026434
90	0.1995671811
91	0.198428013
92	0.1979422528
93	0.1972095324
94	0.1967618693
95	0.1962803053
96	0.1959065313
97	0.1954044176
98	0.1947672305
99	0.1944743613
100	0.1940941023
101	0.1935400092
102	0.1927684286
103	0.1924997081
104	0.1920629087
105	0.1915506446
106	0.1911704354
107	0.1908128324
108	0.1903506403
109	0.1897832953
110	0.1893329455
111	0.188963351
112	0.1884558304
113	0.1880926381
114	0.187643018
115	0.1872257896
116	0.1867453534
117	0.1857611946
118	0.1852901625
119	0.184852484
120	0.184462141
121	0.1840106135
122	0.1834891775
123	0.1830779863
124	0.1827587791
125	0.1823900306
126	0.1818955629
127	0.1815785118
128	0.1812356866
129	0.1805810016
130	0.1797562309
131	0.179457424
132	0.179092258
133	0.1787245046
134	0.1780520564
135	0.1776594908
136	0.1772822836
137	0.1768796009
138	0.1759283812
139	0.1755833501
140	0.1752386508
141	0.1749121624
142	0.174281112
143	0.1739601135
144	0.1730675075
145	0.1726741957
146	0.1723205069
147	0.1719197149
148	0.1715338831
149	0.1712177442
150	0.1708570563
151	0.1705266206
152	0.1700574958
153	0.1695739083
154	0.169247818
155	0.1688327623
156	0.1685183981
157	0.1677649954
158	0.1673578511
159	0.1670764923
160	0.1667048081
161	0.1663973933
162	0.166111689
163	0.1658119533
164	0.1654684979
165	0.1652211231
166	0.1649540943
167	0.1647071507
168	0.1644034676
169	0.1640944108
170	0.1637194758
171	0.1634206523
172	0.1631334554
173	0.1627833159
174	0.1624748893
175	0.1621594305
176	0.1614147684
177	0.1611621857
178	0.1604013692
179	0.1601548236
180	0.1597263834
181	0.1593580495
182	0.1590015909
183	0.1586695298
184	0.1583105668
185	0.1580054905
186	0.1574381621
187	0.1570516338
188	0.1566886238
189	0.1564285112
190	0.1561552794
191	0.1551734261
192	0.1548980713
193	0.154531313
194	0.1541935299
195	0.1538970118
196	0.1536116227
197	0.1532049262
198	0.1529657447
199	0.152685381
200	0.1524405438
201	0.1519025056
202	0.1515331766
203	0.1512708747
204	0.1510058859
205	0.1507125854
206	0.1503455452
207	0.1500688967
208	0.1497893624
209	0.1495212389
210	0.1492160134
211	0.1486467444
212	0.1480206033
213	0.1474101689
214	0.1471280305
215	0.146849823
216	0.146562709
217	0.1463565992
218	0.1460694023
219	0.1457930192
220	0.1454164256
221	0.1448280666
222	0.144508196
223	0.1442540376
224	0.1439722144
225	0.1436445153
226	0.1432537908
227	0.1429761306
228	0.1426614844
229	0.14233692
230	0.1420136493
231	0.1416033869
232	0.1413982723
233	0.1410438206
234	0.1406921221
235	0.1404743692
236	0.1402257836
237	0.1399162458
238	0.1396441086
239	0.1393307727
240	0.1384770518
241	0.138188188
242	0.1379424966
243	0.1376443448
244	0.1374153801
245	0.1371414019
246	0.1369318506
247	0.1364964527
248	0.1361859363
249	0.1359211631
250	0.1356844197
251	0.135377801
252	0.1350906206
253	0.1348287334
254	0.1346258163
255	0.1343955164
256	0.1340585957
257	0.133842717
258	0.1336086771
259	0.1333259997
260	0.1326490983
261	0.1324108621
262	0.1321877189
263	0.131916751
264	0.1316015161
265	0.1313593989
266	0.1311533057
267	0.1309120676
268	0.1306038566
269	0.1303492919
270	0.1298749675
271	0.1295983854
272	0.129350911
273	0.1290755479
274	0.1288641556
275	0.1286898903
276	0.1284578406
277	0.128145052
278	0.1278841516
279	0.1276340153
280	0.1273660909
281	0.1271208639
282	0.1269021159
283	0.1266892226
284	0.1264229318
285	0.1262174275
286	0.1259827987
287	0.1257430035
288	0.1255476661
289	0.1253709378
290	0.1250614664
291	0.1247834579
292	0.1245718334
293	0.1242584063
294	0.1240572722
295	0.1238056349
296	0.1235803189
