iter	Passed	Remaining
0	4149	4145755
1	4289	2140544
2	4445	1477433
3	4582	1141114
4	4696	934608
5	4833	800745
6	5031	713805
7	5165	640543
8	5302	583910
9	5445	539151
10	5591	502697
11	5713	470388
12	5863	445192
13	6000	422574
14	6193	406679
15	6331	389370
16	6481	374811
17	6630	361733
18	6787	350464
19	6955	340843
20	7106	331311
21	7229	321384
22	7375	313283
23	7536	306481
24	7698	300249
25	7803	292338
26	7946	286361
27	8054	279615
28	8173	273675
29	8316	268893
30	8471	264808
31	8579	259528
32	8692	254728
33	8833	250976
34	8970	247333
35	9127	244419
36	9222	240023
37	9341	236491
38	9447	232788
39	9609	230633
40	9713	227207
41	9821	224024
42	9945	221340
43	10039	218120
44	10133	215049
45	10483	217421
46	15603	316393
47	17799	353013
48	18301	355203
49	18393	349483
50	18489	344050
51	18576	338672
52	18684	333845
53	18851	330244
54	18987	326236
55	19306	325458
56	19401	320976
57	19504	316776
58	19610	312766
59	19718	308929
60	19802	304827
61	19921	301392
62	20006	297550
63	20092	293846
64	20204	290630
65	20317	287528
66	20435	284569
67	20544	281576
68	20966	282890
69	21056	279744
70	21441	280555
71	21531	277512
72	21615	274489
73	21700	271545
74	22044	271882
75	22151	269312
76	22535	270130
77	22643	267652
78	22743	265145
79	22827	262516
80	22935	260222
81	23031	257844
82	23710	261955
83	23791	259436
84	23875	257014
85	23961	254664
86	24044	252331
87	24135	250126
88	24226	247982
89	24312	245821
90	24403	243765
91	24490	241711
92	24571	239642
93	24663	237712
94	25299	241011
95	25397	239163
96	25487	237266
97	25588	235521
98	25692	233828
99	25789	232104
100	25902	230558
101	26001	228916
102	26101	227310
103	26242	226086
104	26335	224475
105	26458	223148
106	26560	221666
107	26676	220330
108	26787	218969
109	26882	217501
110	26988	216149
111	27070	214633
112	27176	213322
113	27274	211971
114	27359	210550
115	27463	209287
116	27557	207974
117	27711	207130
118	27796	205788
119	27915	204710
120	28050	203772
121	28162	202674
122	28248	201412
123	28352	200296
124	28436	199058
125	28528	197885
126	28621	196744
127	28716	195633
128	28803	194478
129	30609	204850
130	30708	203708
131	30797	202515
132	30878	201292
133	30960	200089
134	31050	198953
135	31134	197798
136	31215	196633
137	31294	195475
138	31376	194352
139	31488	193431
140	31574	192359
141	31670	191362
142	31758	190331
143	31840	189276
144	31951	188402
145	32038	187405
146	32118	186376
147	32201	185376
148	32282	184379
149	32371	183438
150	32457	182490
151	32538	181532
152	32632	180651
153	32720	179749
154	32803	178834
155	32888	177933
156	32971	177039
157	33058	176170
158	33148	175332
159	33230	174462
160	33311	173591
161	33397	172759
162	33490	171972
163	33581	171185
164	33668	170380
165	33750	169567
166	33830	168746
167	33914	167955
168	34006	167216
169	34086	166424
170	34170	165659
171	34252	164889
172	34339	164156
173	34426	163424
174	34513	162704
175	34596	161976
176	34695	161323
177	34780	160615
178	34870	159938
179	34949	159215
180	35038	158545
181	35125	157873
182	35210	157196
183	35299	156546
184	35381	155871
185	35467	155216
186	35566	154629
187	35656	154007
188	35743	153377
189	35826	152735
190	35907	152089
191	36001	151504
192	36086	150888
193	36177	150305
194	36262	149700
195	36349	149108
196	36433	148510
197	36519	147921
198	36598	147315
199	36679	146717
200	36754	146102
201	36854	145592
202	36940	145030
203	37029	144486
204	37111	143920
205	37193	143358
206	37286	142840
207	37367	142282
208	37464	141792
209	37547	141249
210	37646	140773
211	37746	140301
212	37860	139888
213	38641	141925
214	39795	145299
215	39908	144853
216	40027	144431
217	40152	144033
218	40308	143747
219	40469	143482
220	40627	143206
221	41266	144618
222	41988	146300
223	42150	146022
224	42315	145752
225	43272	148197
226	43376	147709
227	43473	147200
228	43570	146692
229	43667	146190
230	43764	145692
231	44064	145867
232	44154	145350
233	44244	144834
234	44356	144394
235	44456	143918
236	44556	143444
237	44661	142992
238	44769	142551
239	44868	142083
240	44992	141699
241	45080	141201
242	45180	140746
243	45278	140289
244	45366	139803
245	45462	139343
246	45566	138912
247	45664	138466
248	45757	138008
249	45860	137582
250	45960	137148
251	46154	136998
252	46254	136568
253	46357	136153
254	46445	135693
255	46535	135244
256	46639	134836
257	46732	134401
258	46828	133975
259	46925	133558
260	47514	134532
261	47625	134150
262	47721	133727
263	47816	133307
264	47896	132844
265	47979	132393
266	48108	132074
267	48194	131636
268	48280	131201
269	48364	130763
270	48458	130355
271	48538	129912
272	48631	129504
273	48712	129070
274	48800	128655
275	48880	128223
276	48971	127821
277	49059	127414
278	49250	127273
279	49336	126864
280	49428	126474
281	49526	126100
282	49635	125754
283	50044	126167
284	50974	127883
285	51258	127966
286	51341	127548
287	52591	130017
288	53186	130848
289	54332	133022
290	54423	132597
291	54520	132193
292	54604	131758
293	54748	131471
294	54841	131060
295	54932	130651
296	55011	130213
297	55095	129788
298	55190	129393
299	55294	129019
300	55432	128728
301	55519	128319
302	56006	128832
303	56089	128415
304	56164	127982
305	56250	127574
306	56357	127217
307	56473	126882
308	56559	126482
309	56637	126064
310	56742	125710
311	56829	125315
312	57003	125115
313	57100	124747
314	57185	124356
315	57278	123982
316	57367	123603
317	57455	123222
318	57540	122838
319	57625	122454
320	57706	122064
321	57792	121688
322	57882	121320
323	57966	120942
324	58055	120576
325	58154	120234
326	58237	119858
327	58359	119565
328	58436	119181
329	58671	119120
330	58752	118746
331	58839	118387
332	58921	118019
333	59005	117657
334	59093	117304
335	59186	116964
336	59272	116610
337	59365	116271
338	59456	115931
339	59542	115582
340	59622	115223
341	59715	114891
342	59803	114551
343	59903	114233
344	60000	113913
345	60081	113564
346	60159	113211
347	60236	112857
348	60317	112512
349	60404	112180
350	60488	111843
351	60585	111532
352	60668	111197
353	60757	110873
354	60847	110554
355	60935	110230
356	61037	109936
357	61125	109615
358	61209	109290
359	61305	108986
360	61390	108666
361	61493	108377
362	61583	108067
363	61685	107780
364	61766	107457
365	61863	107163
366	61949	106850
367	62042	106551
368	62140	106262
369	62221	105944
370	62310	105641
371	62398	105338
372	62486	105037
373	62567	104725
374	62653	104422
375	62827	104266
376	62973	104064
377	63056	103759
378	63163	103494
379	63248	103194
380	63326	102885
381	63411	102587
382	63506	102306
383	63587	102005
384	63678	101719
385	63761	101423
386	63851	101139
387	64068	101056
388	64150	100761
389	64232	100465
390	64328	100195
391	64430	99932
392	64509	99636
393	64605	99367
394	64699	99096
395	64884	98965
396	64971	98684
397	65056	98401
398	65141	98120
399	65226	97839
400	65307	97554
401	65397	97282
402	65484	97007
403	65571	96734
404	65655	96456
405	65739	96179
406	65821	95901
407	65905	95628
408	65999	95367
409	66081	95093
410	66168	94825
411	66253	94555
412	66334	94281
413	66419	94014
414	66523	93773
415	66619	93523
416	66708	93263
417	66794	93001
418	66875	92731
419	66964	92474
420	67050	92214
421	67134	91952
422	67222	91695
423	67303	91430
424	67384	91167
425	67471	90912
426	67554	90652
427	67645	90405
428	67727	90145
429	67808	89885
430	67892	89631
431	67985	89388
432	68062	89125
433	68164	88896
434	68247	88642
435	68335	88396
436	68422	88150
437	68501	87894
438	68581	87641
439	68675	87405
440	68760	87158
441	68840	86907
442	68925	86662
443	69010	86418
444	69088	86167
445	69177	85929
446	69272	85699
447	69354	85454
448	69445	85221
449	69528	84978
450	69706	84852
451	69808	84634
452	69889	84392
453	69968	84147
454	70045	83900
455	70124	83656
456	70209	83421
457	70294	83187
458	70377	82950
459	70459	82713
460	70546	82482
461	70632	82251
462	70734	82039
463	70814	81803
464	70898	81571
465	71024	81388
466	71251	81321
467	71445	81215
468	71526	80981
469	71607	80748
470	71689	80517
471	71774	80290
472	71855	80058
473	71937	79829
474	72015	79596
475	72093	79363
476	72170	79130
477	72249	78899
478	72339	78681
479	72427	78462
480	72523	78253
481	72612	78035
482	72692	77809
483	72776	77587
484	72859	77366
485	72936	77138
486	73019	76918
487	73101	76696
488	73183	76475
489	73263	76253
490	73340	76028
491	73419	75806
492	73499	75586
493	73587	75375
494	73665	75154
495	73750	74940
496	73832	74724
497	73911	74504
498	73989	74286
499	74074	74074
500	74153	73857
501	74230	73638
502	74311	73425
503	74387	73206
504	74469	72994
505	74549	72781
506	74626	72565
507	74710	72357
508	74849	72202
509	74974	72033
510	75087	71854
511	75183	71659
512	75282	71466
513	75460	71349
514	75634	71229
515	76945	72173
516	77028	71962
517	77116	71757
518	77678	71991
519	77761	71780
520	77841	71566
521	77921	71353
522	78002	71142
523	78679	71472
524	78769	71267
525	78856	71060
526	78960	70869
527	79047	70664
528	79608	70880
529	79714	70690
530	79842	70519
531	79932	70316
532	80034	70124
533	80504	70252
534	80589	70044
535	80673	69836
536	80755	69627
537	80889	69462
538	80981	69262
539	81078	69066
540	81157	68856
541	81316	68713
542	81557	68640
543	81693	68478
544	81838	68323
545	81982	68168
546	82108	67998
547	82198	67798
548	82280	67592
549	82364	67389
550	82442	67181
551	82519	66972
552	82599	66766
553	82679	66561
554	82763	66360
555	82846	66157
556	82931	65958
557	83014	65757
558	83096	65555
559	83181	65356
560	83262	65155
561	83343	64954
562	83492	64806
563	83718	64718
564	83883	64582
565	84035	64437
566	84242	64333
567	84461	64238
568	84766	64208
569	84879	64031
570	84971	63840
571	85071	63655
572	85175	63472
573	85319	63320
574	85410	63129
575	85646	63045
576	87324	64017
577	87434	63835
578	87515	63633
579	87608	63440
580	87691	63240
581	87885	63120
582	89178	63786
583	89274	63592
584	89370	63399
585	89459	63202
586	89551	63006
587	89632	62803
588	89712	62601
589	89794	62399
590	89873	62196
591	89956	61996
592	90044	61800
593	90132	61605
594	90209	61402
595	90286	61201
596	90363	60999
597	90443	60799
598	90518	60597
599	90599	60399
600	90682	60203
601	90773	60013
602	90859	59819
603	90939	59622
604	91015	59423
605	91098	59228
606	91179	59033
607	91258	58837
608	91338	58642
609	91424	58451
610	91504	58257
611	91591	58067
612	91673	57875
613	91752	57681
614	91829	57486
615	91910	57295
616	91990	57102
617	92068	56909
618	92149	56718
619	92226	56526
620	92307	56335
621	92386	56144
622	92467	55955
623	92547	55765
624	92632	55579
625	92712	55390
626	92794	55203
627	92872	55013
628	92948	54823
629	93031	54637
630	93115	54452
631	93193	54264
632	93271	54077
633	93349	53889
634	93431	53704
635	93511	53518
636	93596	53336
637	93672	53149
638	93753	52965
639	93840	52785
640	93922	52602
641	94006	52421
642	94083	52236
643	94161	52051
644	94271	51885
645	94348	51701
646	94426	51518
647	94513	51340
648	94593	51159
649	94672	50977
650	94752	50796
651	94835	50617
652	94920	50440
653	95000	50260
654	95083	50081
655	95162	49902
656	95240	49722
657	95324	49545
658	95401	49365
659	95486	49190
660	95573	49016
661	95652	48837
662	95730	48659
663	95812	48483
664	95894	48307
665	95970	48129
666	96057	47956
667	96153	47789
668	96236	47614
669	96319	47441
670	96406	47269
671	96484	47093
672	96570	46921
673	96654	46749
674	96736	46576
675	96822	46405
676	96902	46232
677	96982	46059
678	97071	45891
679	97152	45718
680	97234	45547
681	97321	45378
682	97424	45217
683	97503	45045
684	97584	44874
685	97663	44703
686	97750	44535
687	97829	44364
688	97906	44193
689	97992	44025
690	98091	43864
691	98170	43694
692	98258	43528
693	98341	43360
694	98425	43193
695	98503	43024
696	98584	42856
697	98664	42688
698	98745	42521
699	98826	42354
700	98907	42187
701	98984	42018
702	99064	41852
703	99166	41694
704	99249	41530
705	99328	41363
706	99412	41199
707	99494	41034
708	99570	40867
709	99647	40701
710	99724	40535
711	99803	40369
712	99879	40203
713	99965	40042
714	100044	39877
715	100124	39714
716	100203	39550
717	100289	39389
718	100370	39226
719	100455	39065
720	100536	38904
721	100622	38743
722	100705	38582
723	100789	38422
724	100865	38259
725	100951	38100
726	101034	37940
727	101116	37779
728	101196	37619
729	101295	37465
730	101378	37306
731	101464	37148
732	101583	37002
733	101665	36843
734	101744	36683
735	101829	36525
736	101920	36370
737	102003	36212
738	102083	36053
739	102164	35895
740	102244	35737
741	102323	35578
742	102401	35419
743	102481	35262
744	102564	35105
745	102643	34948
746	102723	34791
747	102802	34634
748	102884	34477
749	102965	34321
750	103055	34168
751	103135	34012
752	103212	33855
753	103296	33701
754	103373	33545
755	103452	33389
756	103531	33233
757	103612	33079
758	103690	32924
759	103767	32768
760	103847	32614
761	103927	32460
762	104004	32305
763	104083	32151
764	104165	31998
765	104247	31845
766	104334	31694
767	104419	31543
768	104499	31390
769	104582	31239
770	104665	31087
771	104741	30933
772	104821	30781
773	104896	30628
774	104976	30477
775	105060	30326
776	105137	30174
777	105239	30029
778	105319	29878
779	105401	29728
780	105484	29578
781	105571	29430
782	105654	29281
783	105744	29133
784	105822	28983
785	105911	28835
786	105991	28686
787	106071	28537
788	106153	28388
789	106239	28241
790	106323	28093
791	106404	27944
792	106479	27794
793	106572	27649
794	106654	27502
795	106737	27354
796	106823	27208
797	106907	27061
798	106987	26914
799	107068	26767
800	107160	26622
801	107256	26479
802	107335	26332
803	107412	26185
804	107493	26038
805	107581	25894
806	107660	25747
807	107739	25601
808	107814	25454
809	107895	25308
810	107979	25164
811	108059	25018
812	108163	24878
813	108244	24734
814	108335	24591
815	108418	24447
816	108513	24305
817	108598	24162
818	108681	24018
819	108760	23874
820	108841	23730
821	108925	23587
822	109003	23443
823	109085	23299
824	109168	23156
825	109246	23013
826	109324	22869
827	109406	22726
828	109487	22584
829	109577	22443
830	109661	22301
831	109746	22160
832	109846	22021
833	109925	21879
834	110006	21737
835	110086	21595
836	110163	21453
837	110249	21313
838	110330	21171
839	110409	21030
840	110489	20889
841	110587	20751
842	110670	20611
843	110750	20470
844	110828	20329
845	110927	20192
846	111005	20051
847	111086	19911
848	111167	19771
849	111249	19632
850	111333	19493
851	111421	19354
852	111623	19236
853	112792	19283
854	112879	19143
855	114127	19199
856	114229	19060
857	114311	18918
858	114445	18785
859	114671	18667
860	114784	18530
861	114875	18390
862	115053	18264
863	115649	18204
864	115774	18068
865	115903	17934
866	115985	17792
867	116071	17651
868	116264	17526
869	116409	17394
870	116509	17255
871	116876	17156
872	117023	17024
873	117113	16883
874	117219	16745
875	120837	17104
876	120933	16961
877	121038	16818
878	121118	16672
879	123337	16818
880	123427	16671
881	123517	16524
882	123613	16379
883	124371	16320
884	124455	16172
885	124551	16025
886	124634	15877
887	125199	15790
888	125285	15643
889	125370	15495
890	125455	15347
891	125536	15199
892	125623	15052
893	125710	14905
894	125789	14757
895	125866	14609
896	125948	14462
897	126867	14410
898	126979	14265
899	127061	14117
900	127145	13970
901	127224	13822
902	127311	13675
903	127410	13530
904	127497	13383
905	127585	13237
906	127677	13091
907	127758	12944
908	127851	12799
909	127933	12652
910	128777	12580
911	129416	12487
912	129499	12340
913	129579	12192
914	129660	12044
915	129744	11897
916	129834	11751
917	129920	11605
918	130003	11458
919	130089	11312
920	130170	11165
921	130256	11019
922	130345	10873
923	130427	10727
924	130519	10582
925	130599	10436
926	130683	10291
927	130801	10148
928	130893	10003
929	130975	9858
930	131056	9713
931	131135	9567
932	131225	9423
933	131307	9278
934	131393	9134
935	131478	8989
936	131564	8845
937	131646	8701
938	131728	8557
939	131803	8413
940	131885	8269
941	132723	8171
942	132810	8027
943	132892	7883
944	132990	7740
945	133081	7596
946	133174	7453
947	133271	7310
948	133364	7167
949	133454	7023
950	133548	6881
951	135404	6827
952	135486	6681
953	135567	6536
954	135654	6392
955	135733	6247
956	135826	6102
957	135904	5958
958	135990	5813
959	136128	5672
960	136207	5527
961	136291	5383
962	136388	5240
963	136476	5096
964	136559	4952
965	136648	4809
966	136726	4665
967	136811	4522
968	136895	4379
969	137990	4267
970	138082	4123
971	138173	3980
972	138258	3836
973	138341	3692
974	138424	3549
975	138513	3406
976	138600	3262
977	138698	3120
978	138786	2977
979	138869	2834
980	139669	2705
981	140415	2573
982	140492	2429
983	140574	2285
984	141292	2151
985	141377	2007
986	141457	1863
987	141542	1719
988	141626	1575
989	141706	1431
990	141791	1287
991	141875	1144
992	141954	1000
993	142040	857
994	142120	714
995	142204	571
996	142284	428
997	142366	285
998	142447	142
999	142530	0
